3.6 1.71 3.67e-05 0.175 4.44e-05 0.14 4.2e-05
3.8 1.73 3.26e-05 0.156 3.62e-05 0.128 3.13e-05
4 1.76 3.52e-05 0.138 4e-05 0.115 3.6e-05
4.2 1.78 1.95e-05 0.122 2.57e-05 0.104 2.28e-05
4.4 1.81 4.14e-05 0.108 4.49e-05 0.0936 3.83e-05
4.6 1.83 3.06e-05 0.0954 3.51e-05 0.0836 2.93e-05
4.8 1.85 2.93e-05 0.0837 3.37e-05 0.0745 2.89e-05
5 1.86 2.09e-05 0.0731 2.6e-05 0.0659 2.38e-05
5.2 1.88 2.37e-05 0.0637 2.83e-05 0.0581 2.49e-05
5.4 1.9 2.51e-05 0.0553 2.95e-05 0.051 2.57e-05
5.6 1.91 1.56e-05 0.0478 2.23e-05 0.0445 1.68e-05
5.8 1.92 1.72e-05 0.0411 2.31e-05 0.0386 1.88e-05
6 1.93 1.4e-05 0.0352 2.09e-05 0.0334 1.63e-05
6.2 1.94 1.02e-05 0.0301 1.85e-05 0.0287 1.36e-05
6.4 1.95 1.82e-05 0.0256 2.39e-05 0.0245 2.01e-05
6.6 1.96 1.21e-05 0.0217 1.95e-05 0.0209 1.49e-05
6.8 1.96 9.68e-06 0.0183 1.81e-05 0.0177 1.33e-05
7 1.97 9.18e-06 0.0154 1.78e-05 0.015 1.3e-05
7.2 1.97 7.73e-06 0.0129 1.72e-05 0.0126 1.2e-05
7.4 1.98 5.64e-06 0.0108 1.63e-05 0.0106 1.08e-05
7.6 1.98 4.71e-06 0.00896 1.6e-05 0.00882 1.04e-05
7.8 1.99 5.49e-06 0.00744 1.63e-05 0.00734 1.07e-05
8 1.99 3.96e-06 0.00617 1.58e-05 0.0061 1.01e-05
8.2 1.99 2.86e-06 0.00511 1.56e-05 0.00506 9.69e-06
8.4 1.99 2.71e-06 0.00421 1.55e-05 0.00418 9.65e-06
8.6 1.99 1.77e-06 0.00348 1.54e-05 0.00346 9.43e-06
8.8 1.99 2.05e-06 0.00287 1.54e-05 0.00285 9.49e-06
9 2 1.46e-06 0.00236 1.54e-05 0.00235 9.38e-06
9.2 2 1.18e-06 0.00194 1.54e-05 0.00193 9.34e-06
9.4 2 1.15e-06 0.0016 1.53e-05 0.00159 9.34e-06
9.6 2 8.9e-07 0.00131 1.53e-05 0.00131 9.31e-06
9.8 2 5.4e-07 0.00108 1.53e-05 0.00107 9.28e-06
10 2 7.5e-07 0.000882 1.53e-05 0.000881 9.3e-06
10.2 2 3.6e-07 0.000724 1.53e-05 0.000723 9.27e-06
10.4 2 3.5e-07 0.000593 1.53e-05 0.000593 9.27e-06
10.6 2 2.7e-07 0.000486 1.53e-05 0.000486 9.27e-06
10.8 2 1.4e-07 0.000399 1.53e-05 0.000398 9.27e-06
11 2 2e-07 0.000326 1.53e-05 0.000326 9.27e-06
11.2 2 1.2e-07 0.000267 1.53e-05 0.000267 9.27e-06
11.4 2 1.5e-07 0.000219 1.53e-05 0.000219 9.27e-06
11.6 2 1.1e-07 0.000179 1.53e-05 0.000179 9.27e-06
11.8 2 6e-08 0.000147 1.53e-05 0.000147 9.27e-06
12 2 9e-08 0.00012 1.53e-05 0.00012 9.27e-06
