-13 0 0 0
-12.5 0 1.2e-05 0
-12 0 3.53e-05 0
-11.5 0 8.06e-05 0
-11 0 0.000169 0
-10.5 0 0.000339 0
-10 0 0.000661 0
-9.5 0 0.00128 0
-9 0 0.00245 0
-8.5 0 0.00458 0
-8 0 0.00834 0
-7.5 0 0.015 0
-7 0 0.026 0
-6.5 0 0.0428 0
-6 0 0.067 0
-5.5 0 0.0973 0
-5 0 0.134 0
-4.8 0 0.15 0
-4.6 0 0.166 0
-4.4 0 0.183 0
-4.2 0 0.2 0
-4 0 0.218 0
-3.8 0 0.236 0
-3.6 0 0.255 0
-3.4 0 0.275 0
-3.2 0 0.295 0
-3 0 0.316 0
-2.8 0 0.337 0
-2.6 0 0.358 0
-2.4 0 0.38 0
-2.2 0 0.401 0
-2 0 0.423 0
-1.8 0 0.445 0
-1.6 0 0.467 0
-1.4 0 0.489 0
-1.2 0 0.51 0
-1 0 0.532 0
-0.8 0 0.552 0
-0.6 0 0.571 0
-0.4 0 0.588 0
-0.2 0 0.604 0
0 0 0.62 0
0.2 0 0.637 0
0.4 0 0.651 0
0.6 0 0.665 0
0.8 0 0.678 0
1 0 0.689 0
1.2 0 0.701 0
1.4 0 0.712 0
1.6 0 0.722 0
1.8 0 0.729 0
2 0 0.736 0
2.2 0 0.741 0
2.4 0 0.744 0
2.6 0 0.745 0
2.8 0 0.746 0
3 0 0.744 0
3.2 0 0.739 0
3.4 0 0.733 0
3.6 0 0.726 0
3.8 0 0.718 0
4 0 0.709 0
4.2 0 0.7 0
4.4 0 0.692 0
4.6 0 0.685 0
4.8 0 0.678 0
5 0 0.672 0
5.2 0 0.667 0
5.4 0 0.663 0
5.6 0 0.66 0
5.8 0 0.657 0
6 0 0.655 0
6.2 0 0.653 0
6.4 0 0.652 0
6.6 0 0.651 0
6.8 0 0.651 0
7 0 0.65 0
7.2 0 0.651 0
7.4 0 0.651 0
7.6 0 0.652 0
7.8 0 0.653 0
8 0 0.655 0
8.2 0 0.657 0
8.4 0 0.66 0
8.6 0 0.663 0
8.8 0 0.667 0
9 0 0.672 0
9.2 0 0.678 0
9.4 0 0.685 0
9.6 0 0.692 0
9.8 0 0.7 0
10 0 0.709 0
10.2 0 0.718 0
10.4 0 0.726 0
10.6 0 0.733 0
10.8 0 0.739 0
11 0 0.744 0
11.2 0 0.746 0
11.4 0 0.746 0
11.6 0 0.744 0
11.8 0 0.741 0
12 0 0.736 0
12.2 0 0.729 0
12.4 0 0.722 0
12.6 0 0.712 0
12.8 0 0.701 0
13 0 0.689 0
13.2 0 0.678 0
13.4 0 0.665 0
13.6 0 0.651 0
13.8 0 0.637 0
14 0 0.62 0
14.2 0 0.604 0
14.4 0 0.588 0
14.6 0 0.571 0
14.8 0 0.552 0
15 0 0.532 0
15.2 0 0.51 0
15.4 0 0.489 0
15.6 0 0.467 0
15.8 0 0.445 0
16 0 0.423 0
16.2 0 0.401 0
16.4 0 0.38 0
16.6 0 0.358 0
16.8 0 0.337 0
17 0 0.316 0
17.2 0 0.295 0
17.4 0 0.275 0
17.6 0 0.255 0
17.8 0 0.236 0
18 0 0.218 0
18.2 0 0.2 0
18.4 0 0.183 0
18.6 0 0.166 0
18.8 0 0.15 0
19 0 0.134 0
19.5 0 0.0973 0
20 0 0.067 0
20.5 0 0.0429 0
21 0 0.026 0
21.5 0 0.0151 0
22 0 0.00839 0
22.5 0 0.00464 0
23 0 0.00251 0
23.5 0 0.00135 0
24 0 0.000743 0
24.5 0 0.000413 0
25 0 0.000248 0
25.5 0 0.000162 0
26 0 0.000106 0
26.5 0 7.94e-05 0
27 0 7.94e-05 0
