-20 1.68e-08 1.3e-08 0.971 1.31e-08 1 1.3e-08
-19.5 7.23e-08 6.29e-08 0.834 6.11e-08 1 6.27e-08
-19 1.62e-07 4.38e-08 1.17 4.58e-08 1 4.39e-08
-18.5 2.99e-07 1.6e-08 1 1.66e-08 1 1.6e-08
-18 8.77e-07 3.28e-08 0.999 3.3e-08 1 3.26e-08
-17.5 2.4e-06 1.16e-08 0.997 9.99e-09 1 1.14e-08
-17 6.61e-06 1.69e-07 0.999 1.71e-07 1 1.69e-07
-16.5 1.75e-05 1.19e-07 1 1.17e-07 1 1.18e-07
-16 4.78e-05 2.59e-07 1 2.58e-07 1 2.58e-07
-15.5 0.000128 6.94e-07 1 6.87e-07 1 6.94e-07
-15 0.000347 1.9e-06 1 1.9e-06 0.999 1.9e-06
-14.5 0.000927 5.97e-06 1 5.97e-06 0.999 5.96e-06
-14 0.00239 1.1e-05 1 1.11e-05 0.997 1.1e-05
-13.5 0.00591 1.88e-05 1 1.87e-05 0.992 1.85e-05
-13 0.0131 4.08e-05 1 4.2e-05 0.986 4.01e-05
-12.5 0.026 6.88e-05 1 7.01e-05 0.978 6.69e-05
-12 0.046 0.000105 1 0.000101 0.97 9.62e-05
-11.8 0.0565 8.77e-05 1.01 9.13e-05 0.968 8.64e-05
-11.6 0.0677 8.86e-05 1.01 0.00011 0.964 8.83e-05
-11.4 0.0801 0.000165 1.01 0.000168 0.961 0.00017
-11.2 0.0936 0.00014 1.01 0.000158 0.959 0.000111
-11 0.108 0.000144 1.01 0.000152 0.956 0.000157
-10.8 0.124 0.000145 1.01 0.00015 0.952 0.000204
-10.6 0.141 0.000122 1.02 0.000184 0.95 0.000154
-10.4 0.158 0.000154 1.02 0.00024 0.945 0.000238
-10.2 0.177 0.000113 1.02 0.000235 0.939 0.000219
-10 0.196 0.000255 1.03 0.000409 0.937 0.000409
-9.8 0.216 0.000201 1.03 0.000266 0.93 0.000328
-9.6 0.238 0.000247 1.03 0.000693 0.925 0.000584
-9.4 0.259 0.000282 1.04 0.00121 0.923 0.00156
-9.2 0.283 0.000274 1.02 0.00585 0.918 0.00195
-9 0.306 0.00023 1.07 0.00462 0.917 0.00276
-8.8 0.331 0.000314 1.05 0.00452 0.89 0.00402
-8.6 0.357 0.000396 1.06 0.0122 0.862 0.00608
-8.4 0.384 0.000541 0.946 0.0239 0.895 0.0186
-8.2 0.412 0.000334 0.959 0.0262 0.877 0.0254
-8 0.439 0.000391 1.04 0.0373 0.872 0.0253
-7.8 0.466 0.000741 1.07 0.15 0.988 0.234
-4 0.922 0.000909 2.81 1.07 0.979 0.366
-3.8 0.936 0.000355 2.34 0.313 1.32 0.246
-3.6 0.95 0.000241 3.51 0.861 0.758 0.349
-3.4 0.962 0.000419 2.12 0.16 0.761 0.111
-3.2 0.972 0.000308 2.56 0.222 0.739 0.101
-3 0.979 0.000348 2.32 0.213 0.798 0.0541
-2.8 0.985 0.000236 2.5 0.137 0.725 0.0721
-2.6 0.99 0.000181 2.41 0.0654 0.722 0.0175
-2.4 0.993 0.000102 2.91 0.2 0.734 0.08
-2.2 0.995 7.71e-05 2.81 0.175 0.704 0.105
-2 0.997 4.67e-05 2.54 0.0763 0.733 0.0356
-1.8 0.998 3.03e-05 3.46 0.827 0.422 0.293
-1.6 0.998 2.8e-05 2.64 0.1 0.703 0.0354
-1.2 0.999 1.94e-05 2.98 0.584 0.75 0.0187
