-12 0 0 inf 5.05e-06 inf 8.7e-07
-11.8 0 0 inf 5.05e-06 inf 8.7e-07
-11.6 1e-06 0 0.812 5.05e-06 0.812 8.7e-07
-11.4 1e-06 0 1.39 5.05e-06 1.39 8.7e-07
-11.2 2e-06 0 1.19 5.05e-06 1.19 8.7e-07
-11 4e-06 1e-08 1.03 5.05e-06 1.03 8.7e-07
-10.8 7e-06 2e-08 1.01 5.05e-06 1.01 8.7e-07
-10.6 1.2e-05 3e-08 1.01 5.05e-06 1.01 8.7e-07
-10.4 2.1e-05 4e-08 0.986 5.05e-06 0.986 8.7e-07
-10.2 3.6e-05 7e-08 0.987 5.05e-06 0.987 8.8e-07
-10 6.1e-05 9e-08 0.999 5.05e-06 0.999 8.8e-07
-9.8 0.000104 1.7e-07 1 5.05e-06 1 8.9e-07
-9.6 0.000179 4.3e-07 0.999 5.07e-06 0.998 9.7e-07
-9.4 0.000304 4.1e-07 1 5.07e-06 1 9.6e-07
-9.2 0.000515 1.11e-06 1 5.17e-06 0.999 1.41e-06
-9 0.00087 1.37e-06 1 5.23e-06 0.997 1.62e-06
-8.8 0.00145 3.19e-06 1 5.97e-06 0.996 3.29e-06
-8.6 0.00235 3.45e-06 1 6.05e-06 0.994 3.52e-06
-8.4 0.00373 5.78e-06 1 7.65e-06 0.991 5.72e-06
-8.2 0.00574 8.3e-06 1 9.71e-06 0.987 8.21e-06
-8 0.0085 1.08e-05 1 1.19e-05 0.981 1.06e-05
-7.8 0.0122 1.61e-05 1 1.7e-05 0.975 1.57e-05
-7.6 0.017 2.46e-05 1 2.51e-05 0.969 2.34e-05
-7.4 0.0234 2.14e-05 1 2.19e-05 0.963 2.03e-05
-7.2 0.0314 4.64e-05 1 4.66e-05 0.957 4.44e-05
-7 0.041 3.57e-05 1 3.62e-05 0.952 3.35e-05
-6.8 0.0522 4.81e-05 1.01 4.94e-05 0.946 4.31e-05
-6.6 0.0646 4.28e-05 1.01 4.3e-05 0.94 4.17e-05
-6.4 0.0783 5.14e-05 1.01 5.27e-05 0.934 4.87e-05
-6.2 0.0936 3.93e-05 1.01 3.92e-05 0.926 3.86e-05
-6 0.111 5.61e-05 1.01 5.7e-05 0.919 5.33e-05
-5.8 0.129 2.47e-05 1.01 2.59e-05 0.91 3.06e-05
-5.6 0.148 5.08e-05 1.02 5.16e-05 0.902 4.44e-05
-5.4 0.168 5.89e-05 1.02 6.22e-05 0.893 6.08e-05
-5.2 0.189 7.1e-05 1.02 8.12e-05 0.883 6.36e-05
-5 0.21 2.76e-05 1.03 2.36e-05 0.874 4.44e-05
-4.8 0.233 6.93e-05 1.03 8.3e-05 0.86 7.64e-05
-4.6 0.258 0.000119 1.04 0.000135 0.847 0.000105
-4.4 0.284 9.38e-05 1.04 9.63e-05 0.831 0.000105
-4.2 0.311 7.28e-05 1.05 9.77e-05 0.817 4.83e-05
-4 0.34 6.22e-05 1.05 7.76e-05 0.803 9.29e-05
-3.8 0.371 6.47e-05 1.06 9.87e-05 0.791 6.39e-05
-3.6 0.403 9.74e-05 1.07 0.000136 0.782 0.000133
